  restarted from results/fields/chan_re180_t4.npz: t = 4.000, step 4000
  channel Re_tau = 180, 24x80x24 in 2 blocks = 46,080 cells, model = smagorinsky + van Driest
  dx+ 23.6   dz+ 8.0   dy+ wall 1.00 max 8.48   8 points under y+ = 10
  dt = 0.0005:  CFL_x 0.08, CFL_y 0.25, CFL_z 0.04  (dy_wall 0.00556)
      step       t    u_tau    U+_c    u_b+  nu_t/nu       div   s/step
     41500   24.75   0.9748   19.06   16.16    0.201   3.2e-14    0.658
     42000   25.00   0.9766   19.06   16.16    0.200   3.2e-14    0.658
     42500   25.25   0.9777   19.05   16.16    0.193   3.1e-14    0.658
     43000   25.50   0.9781   19.04   16.16    0.191   3.1e-14    0.658
     43500   25.75   0.9779   19.04   16.15    0.188   3.1e-14    0.657
     44000   26.00   0.9775   19.03   16.15    0.190   3.2e-14    0.657
     44500   26.25   0.9769   19.02   16.15    0.194   3.2e-14    0.657
     45000   26.50   0.9762   19.02   16.14    0.200   3.4e-14    0.657
     45500   26.75   0.9752   19.01   16.14    0.196   3.3e-14    0.657
     46000   27.00   0.9741   19.00   16.13    0.192   3.1e-14    0.657
     46500   27.25   0.9728   18.99   16.13    0.195   3.1e-14    0.656
     47000   27.50   0.9715   18.98   16.12    0.197   3.3e-14    0.656
     47500   27.75   0.9705   18.96   16.11    0.191   3.2e-14    0.656
     48000   28.00   0.9695   18.95   16.11    0.185   3.6e-14    0.656
  ABORT at step 48075, t = 28.037: CFL_x 1.10 CFL_y 4.97 CFL_z 0.64 against limit 0.8. Field saved to results/fields/chan_re180_v2_CFL_ABORT.npz. Restart with a smaller --dt: about 8.04e-05.
