0.000000000000000000e+00 6.670247956210892393e-03 1.284004490405228349e+00
1.000000000000000021e-02 3.209147971400261312e-05 1.284080224321234587e+00
2.000000000000000042e-02 -4.778670028796061509e-05 1.284037942755244632e+00
2.999999999999999889e-02 -5.061814940511555339e-05 1.284013149128159892e+00
4.000000000000000083e-02 -3.879165043632615273e-05 1.284009576730283264e+00
5.000000000000000278e-02 -2.775994231822564995e-05 1.284007354462244566e+00
5.999999999999999778e-02 -2.088466189965887398e-05 1.283998400280250030e+00
7.000000000000000666e-02 -1.514945037890680357e-05 1.283989272273029281e+00
8.000000000000000167e-02 -9.393054841100312302e-06 1.283981846015262773e+00
8.999999999999999667e-02 -3.711319973356830282e-06 1.283976517246351312e+00
1.000000000000000056e-01 1.387527675297817176e-06 1.283972262587438129e+00
1.100000000000000006e-01 5.733655373152402035e-06 1.283968741692599558e+00
1.199999999999999956e-01 9.350653374276540752e-06 1.283965784148328293e+00
1.300000000000000044e-01 1.232943044540690813e-05 1.283963358186916537e+00
1.400000000000000133e-01 1.474177123894637731e-05 1.283961427087893403e+00
1.499999999999999944e-01 1.664918348996680120e-05 1.283959944595802538e+00
1.600000000000000033e-01 1.810892720265078193e-05 1.283958856182750630e+00
1.700000000000000122e-01 1.917830524415797822e-05 1.283958107691037354e+00
1.799999999999999933e-01 1.991116144589577530e-05 1.283957650203022549e+00
1.900000000000000022e-01 2.035484053926339687e-05 1.283957440961378982e+00
2.000000000000000111e-01 2.054885925258098656e-05 1.283957442219762379e+00
2.099999999999999922e-01 2.052526250735653424e-05 1.283957619462969157e+00
2.200000000000000011e-01 2.030964642259214248e-05 1.283957940323545488e+00
2.300000000000000100e-01 1.992226314828648981e-05 1.283958374439904349e+00
2.399999999999999911e-01 1.937899737536330491e-05 1.283958893864127759e+00
2.500000000000000000e-01 1.869218517455695228e-05 1.283959473527756412e+00
2.600000000000000089e-01 1.787127323694959191e-05 1.283960091527586833e+00
2.700000000000000178e-01 1.692331138521130374e-05 1.283960729188889927e+00
2.800000000000000266e-01 1.585328510218808606e-05 1.283961370931059776e+00
2.899999999999999800e-01 1.466432586404164962e-05 1.283962003981718336e+00
2.999999999999999889e-01 1.335786783397685529e-05 1.283962618001804223e+00
3.099999999999999978e-01 1.193382493427930235e-05 1.283963204693093330e+00
3.200000000000000067e-01 1.039084126329414826e-05 1.283963757426640040e+00
3.300000000000000155e-01 8.726621042093318792e-06 1.283964270902647531e+00
3.400000000000000244e-01 6.938323677346813767e-06 1.283964740831627260e+00
3.500000000000000333e-01 5.022996942535828957e-06 1.283965163643593366e+00
