0.000000000000000000e+00 -2.600202637796235339e-02 1.286276950706334521e+00
1.000000000000000021e-02 1.198641016636803336e-03 1.271782878337444300e+00
2.000000000000000042e-02 7.458234785093359465e-04 1.271919545435874044e+00
2.999999999999999889e-02 5.492889431109870824e-04 1.271892823445131659e+00
4.000000000000000083e-02 4.722115799706411154e-04 1.271939954743800616e+00
5.000000000000000278e-02 4.516676239765815559e-04 1.271953524585303086e+00
5.999999999999999778e-02 4.431100708088692164e-04 1.271967696486925981e+00
7.000000000000000666e-02 4.347990395574957700e-04 1.271985752963104011e+00
8.000000000000000167e-02 4.261041118733821520e-04 1.272002734456097350e+00
8.999999999999999667e-02 4.180074856168641828e-04 1.272017445629692434e+00
1.000000000000000056e-01 4.104315352527060368e-04 1.272030259821226750e+00
1.100000000000000006e-01 4.033639789571968892e-04 1.272041459124822360e+00
1.199999999999999956e-01 3.963089185556878391e-04 1.272050662716606606e+00
1.300000000000000044e-01 3.899245445245780317e-04 1.272058510864672920e+00
1.400000000000000133e-01 3.841463606249206908e-04 1.272064968991002409e+00
1.499999999999999944e-01 3.791877630548723399e-04 1.272070171951483086e+00
1.600000000000000033e-01 3.751359806644233297e-04 1.272074332971179889e+00
1.700000000000000122e-01 3.720166679133246612e-04 1.272077579890232846e+00
1.799999999999999933e-01 3.698134234859234981e-04 1.272080030623550240e+00
1.900000000000000022e-01 3.684905810895366951e-04 1.272081787111347895e+00
2.000000000000000111e-01 3.680029523253636192e-04 1.272082924983971797e+00
2.099999999999999922e-01 3.683013811360269507e-04 1.272083501528633809e+00
2.200000000000000011e-01 3.693385484358630011e-04 1.272083560253010726e+00
2.300000000000000100e-01 3.710718477814567429e-04 1.272083133873360250e+00
2.399999999999999911e-01 3.734642196978887885e-04 1.272082248062045284e+00
2.500000000000000000e-01 3.764840387676104960e-04 1.272080924557859261e+00
2.600000000000000089e-01 3.801041597730064892e-04 1.272079183487203613e+00
2.700000000000000178e-01 3.843004367504176955e-04 1.272077045147335994e+00
2.800000000000000266e-01 3.890501281695740721e-04 1.272074531217143756e+00
2.899999999999999800e-01 3.943304343281966995e-04 1.272071665427806364e+00
2.999999999999999889e-01 4.001173119309864301e-04 1.272068473813658285e+00
3.099999999999999978e-01 4.063846564858614174e-04 1.272064984650609354e+00
3.200000000000000067e-01 4.131038822152988121e-04 1.272061228175998870e+00
3.300000000000000155e-01 4.202438788330903341e-04 1.272057236176760364e+00
3.400000000000000244e-01 4.277712907298503175e-04 1.272053041517403393e+00
3.500000000000000333e-01 4.356510427046961231e-04 1.272048677660299498e+00
3.599999999999999867e-01 4.438470249774201237e-04 1.272044178214648547e+00
3.699999999999999956e-01 4.523228493687470042e-04 1.272039576535721306e+00
3.800000000000000044e-01 4.610425950158925090e-04 1.272034905383485182e+00
3.900000000000000133e-01 4.699714742206345663e-04 1.272030196642235822e+00
4.000000000000000222e-01 4.790763647245926959e-04 1.272025481096949573e+00
4.100000000000000311e-01 4.883261730934812528e-04 1.272020788258807711e+00
4.199999999999999845e-01 4.976920125776551629e-04 1.272016146229727918e+00
4.299999999999999933e-01 5.071471974476271516e-04 1.272011581594499674e+00
4.400000000000000022e-01 5.166670711018034323e-04 1.272007119330254676e+00
4.500000000000000111e-01 5.262286976214919365e-04 1.272002782724811043e+00
4.600000000000000200e-01 5.358104545098718585e-04 1.271998593298498736e+00
4.700000000000000289e-01 5.453915688321819832e-04 1.271994570727049911e+00
4.799999999999999822e-01 5.549516390221664874e-04 1.271990732765035714e+00
4.899999999999999911e-01 5.644701825964215658e-04 1.271987095172261384e+00
5.000000000000000000e-01 5.739262443464204777e-04 1.271983671645965375e+00
5.100000000000000089e-01 5.832980922390873513e-04 1.271980473763214992e+00
5.200000000000000178e-01 5.925630202227999410e-04 1.271977510937604805e+00
5.300000000000000266e-01 6.016972678158788446e-04 1.271974790394816424e+00
5.400000000000000355e-01 6.106760579104586473e-04 1.271972317170148248e+00
5.500000000000000444e-01 6.194737459555149650e-04 1.271970094130874251e+00
5.600000000000000533e-01 6.280640672042259176e-04 1.271968122024116354e+00
5.700000000000000622e-01 6.364204632992864763e-04 1.271966399549985471e+00
5.799999999999999600e-01 6.445164659189123180e-04 1.271964923458292596e+00
5.899999999999999689e-01 6.523261139319558310e-04 1.271963688666229553e+00
5.999999999999999778e-01 6.598243798991015874e-04 1.271962688393964980e+00
6.099999999999999867e-01 6.669875833241883933e-04 1.271961914314419406e+00
6.199999999999999956e-01 6.737937706307317587e-04 1.271961356713055435e+00
6.300000000000000044e-01 6.802230452446628162e-04 1.271961004653328065e+00
6.400000000000000133e-01 6.862578350576020725e-04 1.271960846143812551e+00
6.500000000000000222e-01 6.918830893306582297e-04 1.271960868302877135e+00
6.600000000000000311e-01 6.970864010103217101e-04 1.271961057518107285e+00
6.700000000000000400e-01 7.018580548832920041e-04 1.271961399597604681e+00
6.800000000000000488e-01 7.061910053148268140e-04 1.271961879911646998e+00
6.900000000000000577e-01 7.100807905924405583e-04 1.271962483523770171e+00
7.000000000000000666e-01 7.135253929845403187e-04 1.271963195310853223e+00
