0.000000000000000000e+00 -1.393751863134933044e+00 -5.231593593780799267e+01 4.841131809347346859e+01 2.068703664754525846e+02 2.923169331146036711e+02 2.958333006986754867e+02
1.000000000000000021e-02 -2.710749082615190528e-02 -1.578121327552537867e+00 1.507753786523310824e+00 5.885425365426068645e+00 8.185203055759000534e+00 8.231511155543346447e+00
2.000000000000000042e-02 -1.694030089544719744e-02 -1.184874874219172147e+00 1.117924897038199639e+00 4.233421788491741111e+00 5.968104047534736445e+00 6.001528076755229257e+00
2.999999999999999889e-02 -1.292951443859832218e-02 -1.003850514932074667e+00 9.419761201144144502e-01 3.487045536937571466e+00 4.917654086473331354e+00 4.946520663242742977e+00
4.000000000000000083e-02 -1.156163992094015776e-02 -9.005521680572262655e-01 8.417338869796321399e-01 3.079527466863865914e+00 4.338853431139758854e+00 4.365684839524939242e+00
5.000000000000000278e-02 -1.055081459931145674e-02 -8.257627859966838457e-01 7.690723382078648029e-01 2.792715046169945481e+00 3.938990039489708828e+00 3.964499427472803816e+00
5.999999999999999778e-02 -9.842843577697223817e-03 -7.667533663575512026e-01 7.115515215954590911e-01 2.570785008404119054e+00 3.633009116400256477e+00 3.657328328034011200e+00
7.000000000000000666e-02 -9.376683931347442116e-03 -7.191324845813648059e-01 6.650375927508413998e-01 2.396384553752052948e+00 3.393623470015612931e+00 3.416862237713012895e+00
8.000000000000000167e-02 -9.023154997351160236e-03 -6.797108800702846843e-01 6.265571039708431877e-01 2.256908665835381189e+00 3.203506119529639928e+00 3.225863047955829899e+00
8.999999999999999667e-02 -8.723361274454215220e-03 -6.461209978107962382e-01 5.938204948146256212e-01 2.142504636864702050e+00 3.049461892742316493e+00 3.071118984476677305e+00
1.000000000000000056e-01 -8.473642869644236811e-03 -6.167656834912560448e-01 5.652346531783788430e-01 2.046422153605954808e+00 2.922046248301822136e+00 2.943135846703185621e+00
1.100000000000000006e-01 -8.271576559328653808e-03 -5.905863664601512797e-01 5.397383172265434181e-01 1.964198948124582511e+00 2.814787885919839638e+00 2.835389169106475205e+00
1.199999999999999956e-01 -8.104143812470078478e-03 -5.668409941298607757e-01 5.166071498982843790e-01 1.892770771723587098e+00 2.723229347345396345e+00 2.743397713769691659e+00
1.300000000000000044e-01 -7.959747234617486553e-03 -5.449945839545164983e-01 4.953271792524656658e-01 1.829959201386258227e+00 2.644237341554845688e+00 2.664019952929565171e+00
1.400000000000000133e-01 -7.833228653721432261e-03 -5.246542646853842307e-01 4.755185304513798172e-01 1.774175001568072618e+00 2.575534295205172963e+00 2.594973093516655283e+00
1.499999999999999944e-01 -7.722723590846090717e-03 -5.055236814272383583e-01 4.568913579037303108e-01 1.724222889975354223e+00 2.515397626166040013e+00 2.534528391950003012e+00
1.600000000000000033e-01 -7.626650663100433512e-03 -4.873726235099756776e-01 4.392197127552305846e-01 1.679175323433774514e+00 2.462481836629843102e+00 2.481334103890789233e+00
1.700000000000000122e-01 -7.543177949256807575e-03 -4.700184836074405292e-01 4.223247985401566429e-01 1.638296070521289893e+00 2.415715069736489529e+00 2.434313215154805921e+00
1.799999999999999933e-01 -7.470643941462272626e-03 -4.533145577738386667e-01 4.060633192204903263e-01 1.600992651550899870e+00 2.374232855322714553e+00 2.392597373256581506e+00
1.900000000000000022e-01 -7.407756713796872020e-03 -4.371418201756543942e-01 3.903190685770867585e-01 1.566783286889271043e+00 2.337330234452573485e+00 2.355478647331177733e+00
2.000000000000000111e-01 -7.353509479352427804e-03 -4.214027882068817621e-01 3.749968326394207407e-01 1.535272049302105035e+00 2.304425532982239844e+00 2.322372941926895251e+00
