1.000000000000000021e-02 2.345465453231309616e-01 1.885301154757514919e+00 5.000000000000000278e-02
2.000000000000000042e-02 2.373338217053834742e-01 1.760289423123809094e+00 5.000000000000000278e-02
2.999999999999999889e-02 2.414902160802243902e-01 1.761765111901199887e+00 5.000000000000000278e-02
4.000000000000000083e-02 2.444543110261715724e-01 1.758122413863105749e+00 5.000000000000000278e-02
5.000000000000000278e-02 2.473836793029170478e-01 1.755429246413289013e+00 5.000000000000000278e-02
5.999999999999999778e-02 2.502471973998755539e-01 1.752702594188904950e+00 5.000000000000000278e-02
7.000000000000000666e-02 2.530526467570221039e-01 1.749828296513116221e+00 5.000000000000000278e-02
8.000000000000000167e-02 2.558024817750628177e-01 1.746950169162445166e+00 5.000000000000000278e-02
8.999999999999999667e-02 2.585040575109387451e-01 1.744100701317288893e+00 5.000000000000000278e-02
1.000000000000000056e-01 2.611570159075439213e-01 1.741376815654899657e+00 5.000000000000000278e-02
1.100000000000000006e-01 2.637639594027555434e-01 1.738809153530279872e+00 5.000000000000000278e-02
1.199999999999999956e-01 2.663267811464747337e-01 1.736427647842193833e+00 5.000000000000000278e-02
1.300000000000000044e-01 2.688466925321127410e-01 1.734247128683547690e+00 5.000000000000000278e-02
1.400000000000000133e-01 2.713247977766690688e-01 1.732275052324631526e+00 5.000000000000000278e-02
1.499999999999999944e-01 2.737619110254578270e-01 1.730513074381687444e+00 5.000000000000000278e-02
1.600000000000000033e-01 2.761586535066962167e-01 1.728958756338000002e+00 5.000000000000000278e-02
1.700000000000000122e-01 2.785154834267277169e-01 1.727606699355722197e+00 5.000000000000000278e-02
1.799999999999999933e-01 2.808327271373713963e-01 1.726449448686896426e+00 5.000000000000000278e-02
1.900000000000000022e-01 2.831106062032814896e-01 1.725478197619421117e+00 5.000000000000000278e-02
2.000000000000000111e-01 2.853492600576230664e-01 1.724683316658057741e+00 5.000000000000000278e-02
2.099999999999999922e-01 2.875487641266609717e-01 1.724054748579568530e+00 5.000000000000000278e-02
2.200000000000000011e-01 2.897091437339216480e-01 1.723582302355753937e+00 5.000000000000000278e-02
2.300000000000000100e-01 2.918303848316063931e-01 1.723255869298625509e+00 5.000000000000000278e-02
2.399999999999999911e-01 2.939124426764410658e-01 1.723065578238724971e+00 5.000000000000000278e-02
2.500000000000000000e-01 2.959552491183491396e-01 1.723001902588535694e+00 5.000000000000000278e-02
2.600000000000000089e-01 2.979581884667554248e-01 1.723061523870246914e+00 5.000000000000000278e-02
2.700000000000000178e-01 2.999233207660162437e-01 1.723215046785261162e+00 5.000000000000000278e-02
2.800000000000000266e-01 3.018470919341151859e-01 1.723482591245548923e+00 5.000000000000000278e-02
2.899999999999999800e-01 3.037321063738704918e-01 1.723838613272527187e+00 5.000000000000000278e-02
